"entity"	"name"	"label"	"dataType"	"refEntity"	"nillable"	"idAttribute"	"enumOptions"	"defaultValue"	"rangeMin"	"rangeMax"	"lookupAttribute"	"labelAttribute"	"readOnly"	"aggregateable"	"visible"	"unique"	"partOfAttribute"	"expression"	"validationExpression"	"tags"	"description"	"mappedBy"	"description-de"	"label-de"	"description-en"	"label-en"	"description-es"	"label-es"	"description-fr"	"label-fr"	"description-it"	"label-it"	"description-nl"	"label-nl"	"description-pt"	"label-pt"	"description-xx"	"label-xx"
"LifeCycle_CoreVariables"	"datatype"	"Data type"	"categorical"	"LifeCycle_DataTypes"	"false"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	""			""		""																
"LifeCycle_CoreVariables"	"values"	"Values"	"text"	""	"true"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	""			""	"Acceptable values for the variable."	""																
"LifeCycle_CoreVariables"	"unit"	"Unit"	"categorical"	"LifeCycle_Units"	"true"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	""			""		""																
"LifeCycle_CoreVariables"	"match"	"Match"	"categorical"	"LifeCycle_Status"	"true"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	""			""		""																
"LifeCycle_CoreVariables"	"comments"	"Comments"	"text"	""	"true"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	""			""		""																
"LifeCycle_CoreVariables"	"harmonizations"	"Harmonized variables"	"one_to_many"	"LifeCycle_Harmonizations"	"true"	"false"					"false"	"false"	"false"	"false"	"false"	"false"	""			""		"target"																
"LifeCycle_Harmonizations"	"target"	"Harmonized variable"	"xref"	"LifeCycle_CoreVariables"	"false"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	""			""		""																
"LifeCycle_Harmonizations"	"cohort"	"Cohort"	"xref"	"LifeCycle_Cohorts"	"false"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	""			""		""																
"LifeCycle_Harmonizations"	"status"	"Match"	"categorical"	"LifeCycle_Status"	"false"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	""			""		""																
"LifeCycle_Harmonizations"	"sources"	"Source variables"	"mref"	"LifeCycle_SourceVariables"	"true"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	""			""		""																
"LifeCycle_Harmonizations"	"description"	"Description"	"text"	""	"true"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	""			""		""																
"LifeCycle_Harmonizations"	"syntax"	"Syntax"	"text"	""	"true"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	""			""		""																
"LifeCycle_Harmonizations"	"info"	"Information"	"text"	""	"true"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	""			""		""																
"LifeCycle_Harmonizations"	"id"	"ID"	"string"	""	"false"	"true"					"false"	"false"	"true"	"false"	"false"	"true"	""			""		""																
"LifeCycle_Harmonizations"	"targetLabel"	"Harmonized variable"	"string"	""	"true"	"false"					"false"	"false"	"false"	"false"	"false"	"false"	""			""		""																
"LifeCycle_Harmonizations"	"sourceLabel"	"Source variables"	"text"	""	"true"	"false"					"false"	"false"	"false"	"false"	"false"	"false"	""			""		""																
"LifeCycle_Harmonizations"	"dateOfUpdate"	"Date of update"	"date"	""	"false"	"false"					"false"	"true"	"false"	"false"	"true"	"false"	""			""	"Date the harmonization was last updated."	""																
"LifeCycle_SourceVariables"	"id"	"id"	"string"	""	"false"	"true"					"false"	"false"	"true"	"false"	"false"	"true"	""			""		""																
"LifeCycle_SourceVariables"	"cohort"	"Cohort"	"xref"	"LifeCycle_Cohorts"	"false"	"false"					"false"	"false"	"false"	"false"	"false"	"false"	""			""		""																
"LifeCycle_SourceVariables"	"label"	"Label"	"string"	""	"false"	"false"					"false"	"true"	"false"	"false"	"true"	"false"	""			""		""																
"LifeCycle_SourceVariables"	"variable"	"Variable"	"string"	""	"false"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	""			""		""																
"LifeCycle_SourceVariables"	"datatype"	"Data type"	"categorical"	"LifeCycle_DataTypes"	"false"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	""			""		""																
"LifeCycle_SourceVariables"	"values"	"Values"	"text"	""	"true"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	""			""		""																
"LifeCycle_SourceVariables"	"unit"	"Unit"	"categorical"	"LifeCycle_Units"	"true"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	""			""		""																
"LifeCycle_SourceVariables"	"collectionType"	"Collection type"	"string"	""	"false"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	""			""		""																
"LifeCycle_SourceVariables"	"description"	"Description"	"text"	""	"false"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	""			""		""																
"LifeCycle_SourceVariables"	"dateOfUpdate"	"Date of update"	"date"	""	"true"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	""			""	"Date that the variable was last updated for harmonization."	""																
"LifeCycle_SourceVariables"	"dependencies"	"Dependencies"	"text"	""	"true"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	""			""	"Description of dependencies of the variable on other variables."	""																
"LifeCycle_Terms"	"id"	"ID"	"string"	""	"false"	"true"					"false"	"false"	"true"	"false"	"true"	"true"	""			""		""																
"LifeCycle_Terms"	"label"	"Label"	"string"	""	"false"	"false"					"true"	"true"	"false"	"false"	"true"	"false"	""			""		""																
