"entity"	"name"	"label"	"dataType"	"refEntity"	"nillable"	"idAttribute"	"enumOptions"	"defaultValue"	"rangeMin"	"rangeMax"	"lookupAttribute"	"labelAttribute"	"readOnly"	"aggregateable"	"visible"	"unique"	"partOfAttribute"	"expression"	"validationExpression"	"tags"	"description"	"mappedBy"	"description-de"	"label-de"	"description-en"	"label-en"	"description-es"	"label-es"	"description-fr"	"label-fr"	"description-it"	"label-it"	"description-nl"	"label-nl"	"description-pt"	"label-pt"	"description-xx"	"label-xx"
"oa_trialbank_intervention_type"	"id"	"ID"	"string"	""	"false"	"AUTO"					"false"	"false"	"true"	"false"	"false"	"true"	""			""		""																
"oa_trialbank_intervention_type"	"intervention_type"	"Intervention type"	"string"	""	"false"	"false"					"true"	"true"	"false"	"false"	"true"	"true"	""			""		""																
"oa_trialbank_outcome_tp"	"id"	"ID"	"string"	""	"false"	"true"					"true"	"false"	"true"	"false"	"true"	"true"	""			""		""																
"oa_trialbank_outcome_tp"	"label"	"label"	"string"	""	"false"	"false"					"true"	"true"	"false"	"false"	"true"	"true"	""			""		""																
"oa_trialbank_project"	"id"	"ID"	"string"	""	"false"	"true"					"false"	"false"	"true"	"false"	"true"	"true"	""			""		""																
"oa_trialbank_project"	"project_name"	"Project name"	"string"	""	"false"	"false"					"true"	"true"	"true"	"false"	"true"	"true"	""			""		""																
"oa_trialbank_studies"	"id_oa_trailbank"	"ID OA Trailbank"	"string"	""	"false"	"AUTO"					"false"	"false"	"true"	"false"	"false"	"true"	""			""		""																
"oa_trialbank_studies"	"contact_data_deliverer"	"Contact data-deliverer"	"categorical"	"oa_trialbank_yesno"	"false"	"false"					"false"	"false"	"false"	"false"	"false"	"false"	""			""	"Data-deliverer needs to be contacted and its permission should be requested for additional analyses"	""																
"oa_trialbank_studies"	"project"	"Project"	"categorical_mref"	"oa_trialbank_project"	"false"	"false"					"false"	"false"	"false"	"false"	"false"	"false"	""			""		""																
"oa_trialbank_studies"	"Author"	"Author"	"string"	""	"true"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	""			""		""																
"oa_trialbank_studies"	"author_year"	"Year of publication"	"string"	""	"false"	"false"					"true"	"true"	"false"	"true"	"true"	"false"	""			""		""																
"oa_trialbank_studies"	"number_subjects"	"Total number of subjects included"	"int"	""	"true"	"false"					"false"	"false"	"false"	"true"	"true"	"false"	""			""		""																
