"id"	"label"	"ontology"	"uri"	"description"
"NAV"	"Not available"			
"NI"	"No information"			
"ORPHA:10"	"48,XXYY syndrome"	"orphanet"	"https://identifiers.org/orphanet:10"	
"ORPHA:100"	"Ataxia-telangiectasia"	"orphanet"	"https://identifiers.org/orphanet:100"	
"ORPHA:1000"	"Ocular albinism with late-onset sensorineural deafness"	"orphanet"	"https://identifiers.org/orphanet:1000"	
"ORPHA:100006"	"ABeta amyloidosis, Dutch type"	"orphanet"	"https://identifiers.org/orphanet:100006"	
"ORPHA:100008"	"ACys amyloidosis"	"orphanet"	"https://identifiers.org/orphanet:100008"	
"ORPHA:100024"	"Mu-heavy chain disease"	"orphanet"	"https://identifiers.org/orphanet:100024"	
"ORPHA:100025"	"Alpha-heavy chain disease"	"orphanet"	"https://identifiers.org/orphanet:100025"	
"ORPHA:100026"	"Gamma-heavy chain disease"	"orphanet"	"https://identifiers.org/orphanet:100026"	
"ORPHA:100050"	"Hereditary angioedema type 1"	"orphanet"	"https://identifiers.org/orphanet:100050"	
"ORPHA:100069"	"Semantic dementia"	"orphanet"	"https://identifiers.org/orphanet:100069"	
"ORPHA:100070"	"Progressive non-fluent aphasia"	"orphanet"	"https://identifiers.org/orphanet:100070"	
"ORPHA:100073"	"Neurogenic thoracic outlet syndrome"	"orphanet"	"https://identifiers.org/orphanet:100073"	
"ORPHA:100075"	"Neuroendocrine tumor of stomach"	"orphanet"	"https://identifiers.org/orphanet:100075"	
"ORPHA:100076"	"Duodenal neuroendocrine tumor"	"orphanet"	"https://identifiers.org/orphanet:100076"	
"ORPHA:100077"	"Jejunal neuroendocrine tumor"	"orphanet"	"https://identifiers.org/orphanet:100077"	
"ORPHA:100078"	"Ileal neuroendocrine tumor"	"orphanet"	"https://identifiers.org/orphanet:100078"	
"ORPHA:100079"	"Neuroendocrine neoplasm of appendix"	"orphanet"	"https://identifiers.org/orphanet:100079"	
"ORPHA:100080"	"Neuroendocrine tumor of the colon"	"orphanet"	"https://identifiers.org/orphanet:100080"	
"ORPHA:100081"	"Neuroendocrine tumor of the rectum"	"orphanet"	"https://identifiers.org/orphanet:100081"	
"ORPHA:100082"	"Neuroendocrine tumor of anal canal"	"orphanet"	"https://identifiers.org/orphanet:100082"	
"ORPHA:100083"	"Laryngeal neuroendocrine tumor"	"orphanet"	"https://identifiers.org/orphanet:100083"	
"ORPHA:100084"	"Middle ear neuroendocrine tumor"	"orphanet"	"https://identifiers.org/orphanet:100084"	
"ORPHA:100085"	"Primary hepatic neuroendocrine carcinoma"	"orphanet"	"https://identifiers.org/orphanet:100085"	
"ORPHA:100086"	"Gallbladder neuroendocrine tumor"	"orphanet"	"https://identifiers.org/orphanet:100086"	
"ORPHA:100093"	"Carcinoid syndrome"	"orphanet"	"https://identifiers.org/orphanet:100093"	
"ORPHA:1001"	"2q37 microdeletion syndrome"	"orphanet"	"https://identifiers.org/orphanet:1001"	
"ORPHA:100100"	"Thymic tumor"	"orphanet"	"https://identifiers.org/orphanet:100100"	
"ORPHA:1003"	"Scalp defects-postaxial polydactyly syndrome"	"orphanet"	"https://identifiers.org/orphanet:1003"	
"ORPHA:1005"	"Alopecia-contractures-dwarfism-intellectual disability syndrome"	"orphanet"	"https://identifiers.org/orphanet:1005"	
"ORPHA:1006"	"Alopecia antibody deficiency"	"orphanet"	"https://identifiers.org/orphanet:1006"	
"ORPHA:1008"	"Alopecia-epilepsy-pyorrhea-intellectual disability syndrome"	"orphanet"	"https://identifiers.org/orphanet:1008"	
"ORPHA:100924"	"Porphyria due to ALA dehydratase deficiency"	"orphanet"	"https://identifiers.org/orphanet:100924"	
"ORPHA:100976"	"Bathing suit ichthyosis"	"orphanet"	"https://identifiers.org/orphanet:100976"	
"ORPHA:100984"	"Autosomal dominant spastic paraplegia type 3"	"orphanet"	"https://identifiers.org/orphanet:100984"	
"ORPHA:100985"	"Autosomal dominant spastic paraplegia type 4"	"orphanet"	"https://identifiers.org/orphanet:100985"	
"ORPHA:100986"	"Autosomal recessive spastic paraplegia type 5A"	"orphanet"	"https://identifiers.org/orphanet:100986"	
"ORPHA:100988"	"Autosomal dominant spastic paraplegia type 6"	"orphanet"	"https://identifiers.org/orphanet:100988"	
"ORPHA:100989"	"Autosomal dominant spastic paraplegia type 8"	"orphanet"	"https://identifiers.org/orphanet:100989"	
"ORPHA:100990"	"Autosomal dominant spastic paraplegia type 9"	"orphanet"	"https://identifiers.org/orphanet:100990"	
"ORPHA:100993"	"Autosomal dominant spastic paraplegia type 12"	"orphanet"	"https://identifiers.org/orphanet:100993"	
"ORPHA:100994"	"Autosomal dominant spastic paraplegia type 13"	"orphanet"	"https://identifiers.org/orphanet:100994"	
"ORPHA:100995"	"Autosomal recessive spastic paraplegia type 14"	"orphanet"	"https://identifiers.org/orphanet:100995"	
"ORPHA:100996"	"Autosomal recessive spastic paraplegia type 15"	"orphanet"	"https://identifiers.org/orphanet:100996"	
"ORPHA:100997"	"X-linked spastic paraplegia type 16"	"orphanet"	"https://identifiers.org/orphanet:100997"	
"ORPHA:100998"	"Autosomal dominant spastic paraplegia type 17"	"orphanet"	"https://identifiers.org/orphanet:100998"	
"ORPHA:100999"	"Autosomal dominant spastic paraplegia type 19"	"orphanet"	"https://identifiers.org/orphanet:100999"	
"ORPHA:101"	"Dentatorubral pallidoluysian atrophy"	"orphanet"	"https://identifiers.org/orphanet:101"	
"ORPHA:1010"	"Autosomal dominant palmoplantar keratoderma and congenital alopecia"	"orphanet"	"https://identifiers.org/orphanet:1010"	
"ORPHA:101000"	"Autosomal recessive spastic paraplegia type 20"	"orphanet"	"https://identifiers.org/orphanet:101000"	
"ORPHA:101001"	"Autosomal recessive spastic paraplegia type 21"	"orphanet"	"https://identifiers.org/orphanet:101001"	
"ORPHA:101003"	"Autosomal recessive spastic paraplegia type 23"	"orphanet"	"https://identifiers.org/orphanet:101003"	
"ORPHA:101004"	"Autosomal recessive spastic paraplegia type 24"	"orphanet"	"https://identifiers.org/orphanet:101004"	
"ORPHA:101005"	"Autosomal recessive spastic paraplegia type 25"	"orphanet"	"https://identifiers.org/orphanet:101005"	
"ORPHA:101006"	"Autosomal recessive spastic paraplegia type 26"	"orphanet"	"https://identifiers.org/orphanet:101006"	
"ORPHA:101007"	"Autosomal recessive spastic paraplegia type 27"	"orphanet"	"https://identifiers.org/orphanet:101007"	
"ORPHA:101008"	"Autosomal recessive spastic paraplegia type 28"	"orphanet"	"https://identifiers.org/orphanet:101008"	
"ORPHA:101009"	"Autosomal dominant spastic paraplegia type 29"	"orphanet"	"https://identifiers.org/orphanet:101009"	
"ORPHA:101010"	"Autosomal spastic paraplegia type 30"	"orphanet"	"https://identifiers.org/orphanet:101010"	
"ORPHA:101011"	"Autosomal dominant spastic paraplegia type 31"	"orphanet"	"https://identifiers.org/orphanet:101011"	
"ORPHA:101028"	"Transaldolase deficiency"	"orphanet"	"https://identifiers.org/orphanet:101028"	
"ORPHA:101041"	"Familial hypofibrinogenemia"	"orphanet"	"https://identifiers.org/orphanet:101041"	
"ORPHA:101075"	"X-linked Charcot-Marie-Tooth disease type 1"	"orphanet"	"https://identifiers.org/orphanet:101075"	
"ORPHA:101076"	"X-linked Charcot-Marie-Tooth disease type 2"	"orphanet"	"https://identifiers.org/orphanet:101076"	
"ORPHA:101077"	"X-linked Charcot-Marie-Tooth disease type 3"	"orphanet"	"https://identifiers.org/orphanet:101077"	
"ORPHA:101078"	"X-linked Charcot-Marie-Tooth disease type 4"	"orphanet"	"https://identifiers.org/orphanet:101078"	
"ORPHA:101108"	"Spinocerebellar ataxia type 23"	"orphanet"	"https://identifiers.org/orphanet:101108"	
"ORPHA:101109"	"Spinocerebellar ataxia type 28"	"orphanet"	"https://identifiers.org/orphanet:101109"	
"ORPHA:101110"	"Spinocerebellar ataxia type 20"	"orphanet"	"https://identifiers.org/orphanet:101110"	
"ORPHA:101111"	"Spinocerebellar ataxia type 25"	"orphanet"	"https://identifiers.org/orphanet:101111"	
"ORPHA:101112"	"Spinocerebellar ataxia type 26"	"orphanet"	"https://identifiers.org/orphanet:101112"	
"ORPHA:101150"	"Autosomal recessive dopa-responsive dystonia"	"orphanet"	"https://identifiers.org/orphanet:101150"	
"ORPHA:101330"	"Porphyria cutanea tarda"	"orphanet"	"https://identifiers.org/orphanet:101330"	
"ORPHA:1014"	"Alopecia-intellectual disability-hypergonadotropic hypogonadism syndrome"	"orphanet"	"https://identifiers.org/orphanet:1014"	
"ORPHA:102"	"Multiple system atrophy"	"orphanet"	"https://identifiers.org/orphanet:102"	
"ORPHA:1020"	"Early-onset autosomal dominant Alzheimer disease"	"orphanet"	"https://identifiers.org/orphanet:1020"	
"ORPHA:1021"	"Amaurosis-hypertrichosis syndrome"	"orphanet"	"https://identifiers.org/orphanet:1021"	
"ORPHA:1027"	"Autosomal recessive amelia"	"orphanet"	"https://identifiers.org/orphanet:1027"	
"ORPHA:1028"	"Ameloonychohypohidrotic syndrome"	"orphanet"	"https://identifiers.org/orphanet:1028"	
"ORPHA:1031"	"Amelogenesis imperfecta-nephrocalcinosis syndrome"	"orphanet"	"https://identifiers.org/orphanet:1031"	
"ORPHA:1034"	"Amniotic bands"	"orphanet"	"https://identifiers.org/orphanet:1034"	
