"entity"	"name"	"label"	"dataType"	"refEntity"	"nillable"	"idAttribute"	"enumOptions"	"defaultValue"	"rangeMin"	"rangeMax"	"lookupAttribute"	"labelAttribute"	"readOnly"	"aggregateable"	"visible"	"unique"	"partOfAttribute"	"expression"	"validationExpression"	"tags"	"description"	"mappedBy"	"description-de"	"label-de"	"description-en"	"label-en"	"description-es"	"label-es"	"description-fr"	"label-fr"	"description-it"	"label-it"	"description-nl"	"label-nl"	"description-pt"	"label-pt"	"description-xx"	"label-xx"
"umcg_biobanks"	"id"	"ID"	"string"	""	"false"	"AUTO"					"false"	"false"	"true"	"false"	"false"	"true"	""			""	"The unique ID for BBMRI which also links the biobank to the  sample collections hosted by the biobank"	""																
"umcg_biobanks"	"name"	"Name"	"string"	""	"false"	"false"					"false"	"true"	"false"	"false"	"true"	"false"	""			""	"the name of the biobank in english."	""																
"umcg_biobanks"	"acronym"	"Acronym"	"string"	""	"true"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	""			""	"short name in use for biobank"	""																
"umcg_biobanks"	"contact_person"	"Contact person"	"mref"	"umcg_persons"	"true"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	""			""	"a human person with contact details for the biobank (e.g name, role, email, phone etc)"	""																
"umcg_biobanks"	"principal_investigators"	"Principle investigators"	"mref"	"umcg_persons"	"true"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	""			""	"Proposed extension of miabis core module"	""																
"umcg_biobanks"	"description"	"Description"	"text"	""	"true"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	""			""	"short description of the biobank (not more than 300? characters)"	""																
"umcg_biobanks"	"website"	"Website"	"hyperlink"	""	"true"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	""			""	"url to the biobanks website"	""																
"umcg_biobanks"	"juristic_person"	"Organisation"	"mref"	"umcg_juristic_persons"	"true"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	""			""	"the legal entity that is recognized by law as the subject of rights and duties for the biobank ( e.g. a university, concern, county council etc.)"	""																
"umcg_biobanks"	"longitude"	"Longitude"	"decimal"	""	"true"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	""			""	"Longitude of the biobank's physical location"	""																
"umcg_biobanks"	"latitude"	"Latitude"	"decimal"	""	"true"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	""			""	"Latitude of the biobank's physical location"	""																
"umcg_biobanks"	"it_support"	"IT Support"	"compound"	""	"true"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	""			""	"IT support information"	""																
"umcg_biobanks"	"biobankITSupportAvailable"	"Dedicated IT Staff"	"bool"	""	"true"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	"it_support"			""	"Availability of dedicated IT staff"	""																
"umcg_biobanks"	"biobankITStaffSize"	"Size of the IT staff"	"xref"	"umcg_staff_size_types"	"true"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	"it_support"			""	"Size of the dedicated IT staff if available"	""																
"umcg_biobanks"	"biobankISAvailable"	"BIMs present"	"bool"	""	"true"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	"it_support"			""	"Availability of a Biobank information system"	""																
"umcg_biobanks"	"biobankHISAvailable"	"HIS present"	"bool"	""	"true"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	"it_support"			""	"Availability of a Hospital information system link"	""																
"umcg_biobanks"	"biobankSize"	"Number of samples stored"	"xref"	"umcg_sample_size_types"	"true"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	""			""	"Size of the biobank"	""																
"umcg_categoricals"	"id"	"ID"	"string"	""	"false"	"true"					"false"	"false"	"true"	"false"	"false"	"true"	""			""	"ID"	""																
"umcg_categoricals"	"label"	"Label"	"string"	""	"false"	"false"					"true"	"true"	"false"	"false"	"true"	"false"	""			""	"Label of the category"	""																
"umcg_collections"	"id"	"ID"	"string"	""	"false"	"AUTO"					"false"	"false"	"true"	"false"	"false"	"true"	""			""	"Is filled automatically"	""																
"umcg_collections"	"name"	"Name"	"string"	""	"false"	"false"					"false"	"true"	"false"	"false"	"true"	"false"	""			""	"The name of the specific collection"	""																
"umcg_collections"	"acronym"	"Acronym"	"string"	""	"true"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	""			""	"Short name (acronym) of the collection"	""																
"umcg_collections"	"description"	"Description"	"text"	""	"true"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	""			""	"Short description of the collection"	""																
"umcg_collections"	"publications"	"Publications"	"mref"	"umcg_publications"	"true"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	""			""	"PMID(s): use simple numbers, e.g., 23193287. If more than one, comma separated list"	""																
"umcg_collections"	"disease"	"Disease(s) studied"	"mref"	"umcg_disease_types"	"true"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	""			""	"ICD-10 codes: use prefix ""urn:miriam:icd:"". If more than one, comma separated list"	""																
"umcg_collections"	"data_categories"	"Data categories"	"categorical_mref"	"umcg_data_category_types"	"true"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	""			""	"The categories of data collected"	""																
"umcg_collections"	"materials"	"Material collected"	"categorical_mref"	"umcg_material_types"	"true"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	""			""	"The types of samples collected"	""																
"umcg_collections"	"experimental_data"	"Experimental data"	"categorical_mref"	"umcg_exp_data_types"	"true"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	""			""	"The types of experimental data available"	""																
"umcg_collections"	"sex"	"Sex"	"categorical_mref"	"umcg_sex_types"	"true"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	""			""	"Sex of individuals in collection"	""																
"umcg_collections"	"age_low"	"Age low"	"int"	""	"true"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	""			""	"Age of youngest sample donor at time of inclusion (may be estimates)"	""																
"umcg_collections"	"age_high"	"Age high"	"int"	""	"true"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	""			""	"Age of oldest sample donor at time of inclusion (may be estimates)"	""																
"umcg_collections"	"age_unit"	"Age unit"	"categorical"	"umcg_age_types"	"true"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	""			""	"Unit of time used to express the age of the donors, usually years (but may change for children or non-human)"	""																
"umcg_collections"	"number_of_donors"	"Number of donors"	"int"	""	"true"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	""			""	"Number of donors from who sample(s) were taken"	""																
"umcg_collections"	"organisation"	"Organisational structure"	"compound"	""	"true"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	""			""	"The organisational structure"	""																
